address,name,catalogs,confidence
0x40000,game_start_veneer,orchestration_sound_contracts.csv,Verified
0x40006,game_vblank_veneer,orchestration_sound_contracts.csv,Verified
0x4000C,game_irq1_watchdog_trap,orchestration_sound_contracts.csv,Verified
0x40012,game_irq3_watchdog_trap,orchestration_sound_contracts.csv,Verified
0x40018,game_irq2_watchdog_trap,orchestration_sound_contracts.csv,Verified
0x4001E,game_irq6_sound_veneer,orchestration_sound_contracts.csv,Verified
0x40024,game_exception_veneer,orchestration_sound_contracts.csv,Verified
0x40030,game_playfield_init_veneer,orchestration_sound_contracts.csv,Verified
0x40048,game_options_veneer,orchestration_sound_contracts.csv,Verified
0x40054,game_eeprom_config_veneer,orchestration_sound_contracts.csv,Verified
0x400DE,scroll_to_slot_veneer,orchestration_sound_contracts.csv,Verified
0x400E4,init_display_veneer,orchestration_sound_contracts.csv,Verified
0x400EA,maze_setup_veneer,orchestration_sound_contracts.csv,Verified
0x400F0,pf_replace_veneer,orchestration_sound_contracts.csv,Verified
0x400F6,mob_clear_veneer,orchestration_sound_contracts.csv,Verified
0x40140,game_exception_abort,orchestration_sound_contracts.csv,Verified
0x4014C,game_start,orchestration_sound_contracts.csv,Verified
0x4017E,game_vblank,orchestration_sound_contracts.csv,Verified
0x404A0,palette_power_warrior,orchestration_sound_contracts.csv,Verified
0x404AE,palette_hurt_warrior,orchestration_sound_contracts.csv,Verified
0x404BC,palette_power_valkyrie,orchestration_sound_contracts.csv,Verified
0x404D0,palette_hurt_valkyrie,orchestration_sound_contracts.csv,Verified
0x404E4,palette_power_wizard,orchestration_sound_contracts.csv,Verified
0x404F8,palette_hurt_wizard,orchestration_sound_contracts.csv,Verified
0x4050C,palette_power_elf,orchestration_sound_contracts.csv,Verified
0x4051A,palette_hurt_elf,orchestration_sound_contracts.csv,Verified
0x40528,main_cycle_tport_and_ffield,main_loop_contracts.csv,Verified
0x40628,calc_score_per_coin,score_coin_dialog_contracts.csv,Verified
0x40644,input_debounce,main_loop_contracts.csv,Verified
0x406B6,mob_probe_up,player_collision_contracts.csv,Verified
0x40732,mob_probe_down,player_collision_contracts.csv,Verified
0x407A6,mob_probe_candidate,player_collision_contracts.csv,Verified
0x4083A,mob_probe_left,player_collision_contracts.csv,Verified
0x408A0,mob_probe_right,player_collision_contracts.csv,Verified
0x40906,shot_mob_collision,monster_combat_contracts.csv,Verified
0x40A78,shot_collision_candidate_core,monster_combat_contracts.csv,Verified
0x40C78,find_maze,maze_contracts.csv,Verified
0x40CC4,maze_select_alt_bank,maze_contracts.csv,Verified
0x40CF2,maze_init,maze_contracts.csv,Verified
0x40D24,load_level_tileset,maze_contracts.csv,Verified
0x40D4E,maze_select_bank_special,maze_contracts.csv,Verified
0x40E6A,monsters_everything,monster_combat_contracts.csv,Verified
0x40FAE,monster_loop_core,monster_combat_contracts.csv,Verified
0x4119A,monster_special_handler,monster_combat_contracts.csv,Verified
0x414A4,monster_update_anim_tile,monster_combat_contracts.csv,Verified
0x41750,monster_find_and_shoot,monster_combat_contracts.csv,Verified
0x41B16,find_unused_shot,monster_combat_contracts.csv,Verified
0x41B52,monster_shooter_in_view,monster_combat_contracts.csv,Verified
0x41B7E,apply_direction_from_delta,monster_combat_contracts.csv,Verified
0x41BF0,player_try_move,player_collision_contracts.csv,Verified
0x41C30,player_try_move_core,player_collision_contracts.csv,Verified
0x42598,mob_collision_test_preserve_d1_a,player_collision_contracts.csv,Verified
0x425B4,mob_collision_test_preserve_d1_b,player_collision_contracts.csv,Verified
0x425D0,probe_up,player_collision_contracts.csv,Verified
0x4260C,probe_down,player_collision_contracts.csv,Verified
0x42648,tile_lookup_core,player_collision_contracts.csv,Verified
0x426D4,probe_left,player_collision_contracts.csv,Verified
0x4270C,probe_right,player_collision_contracts.csv,Verified
0x42744,squeeze_through_check,player_collision_contracts.csv,Verified
0x427B4,failed_door_post,player_collision_contracts.csv,Verified
0x4280E,door_traverse_right,player_collision_contracts.csv,Verified
0x428A4,door_traverse_left,player_collision_contracts.csv,Verified
0x4293A,door_traverse_up,player_collision_contracts.csv,Verified
0x429D0,door_traverse_down,player_collision_contracts.csv,Verified
0x42A66,m2mainloop,orchestration_sound_contracts.csv,Verified
0x42B6A,coincheck,main_loop_contracts.csv;score_coin_dialog_contracts.csv,Verified
0x42D0A,sound_response,main_loop_contracts.csv,Verified
0x42DC8,sound_system_reset,orchestration_sound_contracts.csv,Verified
0x42DF4,character_select_input_update,main_loop_contracts.csv;player_lifecycle_contracts.csv,Verified
